,open,high,low,close,volume,datetime
0,275.93,278.01,275.26,277.9,86491406,1519624800000
1,278.11,278.92,274.36,274.43,99099165,1519711200000
2,275.68,276.19,271.29,271.65,121907767,1519797600000
3,271.41,273.17,266.0,267.7,176855080,1519884000000
4,265.8,269.72,264.82,269.08,139083220,1519970400000
5,267.73,272.89,267.61,272.19,97307387,1520229600000
6,273.3,273.39,271.18,272.88,79213163,1520316000000
7,270.42,273.18,270.2,272.78,87063502,1520402400000
8,273.55,274.24,272.42,274.1,66901150,1520488800000
9,275.7,278.87,275.34,278.87,113625335,1520575200000
10,279.2,279.91,278.0801,278.52,71924793,1520830800000
11,279.84,280.41,276.03,276.72,91968937,1520917200000
12,277.81,278.02,274.67,275.3,105895079,1521003600000
13,275.88,276.61,274.43,275.0,83433038,1521090000000
14,274.5,275.39,274.14,274.2,100343673,1521176400000
15,273.35,274.3957,268.62,270.49,109208442,1521435600000
16,270.94,271.67,270.18,270.95,59757271,1521522000000
17,270.9,273.27,270.19,270.43,78709578,1521608400000
18,267.91,268.87,263.36,263.67,148785920,1521694800000
19,264.17,265.02,257.83,258.05,183534750,1521781200000
20,262.13,265.43,259.41,265.11,141956100,1522040400000
21,266.17,266.77,258.84,260.6,129941445,1522126800000
22,260.75,262.64,258.58,259.83,146452310,1522213200000
23,261.12,265.26,259.8389,263.15,124244790,1522299600000
24,262.55,263.13,254.67,257.47,186286340,1522645200000
25,258.87,261.31,256.84,260.77,119956861,1522731600000
26,256.75,264.355,256.6,263.56,123715339,1522818000000
27,265.55,266.64,264.32,265.64,82652618,1522904400000
28,263.42,265.11,258.0,259.72,179521210,1522990800000
29,261.37,264.84,259.9356,261.0,105442932,1523250000000
30,264.27,266.04,262.98,265.15,105573736,1523336400000
31,263.47,265.64,263.39,263.76,91140243,1523422800000
32,265.26,267.0,265.06,265.93,68890480,1523509200000
33,267.41,267.54,264.01,265.15,85079176,1523595600000
34,267.0,268.2,266.07,267.33,63405287,1523854800000
35,269.33,270.87,268.75,270.19,64682036,1523941200000
36,270.69,271.3,269.87,270.39,57303857,1524027600000
37,269.65,269.88,267.72,268.89,77655909,1524114000000
38,268.81,269.06,265.61,266.61,99953133,1524200400000
39,267.26,267.89,265.35,266.57,65557954,1524459600000
40,267.73,267.9762,261.28,262.98,112885452,1524546000000
41,262.91,264.13,260.85,263.63,103840948,1524632400000
42,264.79,267.2452,264.29,266.31,67731942,1524718800000
43,267.0,267.34,265.5,266.56,57053647,1524805200000
44,267.26,267.89,264.43,264.51,82182324,1525064400000
45,263.87,265.1,262.11,264.98,74203365,1525150800000
46,264.76,265.68,262.76,263.2,86368943,1525237200000
47,262.26,263.36,259.05,262.62,136311480,1525323600000
48,261.52,266.7892,261.15,266.02,91222075,1525410000000
49,266.89,268.02,266.11,266.92,55304907,1525669200000
50,266.5,267.325,265.15,266.92,67499247,1525755600000
51,267.68,269.865,267.09,269.5,59666143,1525842000000
52,270.34,272.39,270.22,272.02,72063931,1525928400000
53,272.16,273.15,271.58,272.85,59871511,1526014800000
54,273.34,274.08,272.36,272.98,54790606,1526274000000
55,271.59,271.61,270.03,271.1,87036136,1526360400000
56,271.14,272.76,271.11,272.24,53942631,1526446800000
57,271.94,273.23,271.13,272.01,56536400,1526533200000
58,271.62,272.03,270.93,271.33,64367959,1526619600000
59,273.01,273.98,271.3512,273.37,58025875,1526878800000
60,273.96,274.25,272.24,272.61,52966358,1526965200000
61,271.17,273.39,270.99,273.36,64694184,1527051600000
62,272.91,273.22,270.78,272.8,76043827,1527138000000
63,272.15,272.86,271.58,272.15,56374755,1527224400000
64,270.31,271.17,267.76,269.02,115908607,1527570000000
65,270.5,273.11,270.42,272.61,69678449,1527656400000
66,272.15,272.49,270.255,270.94,93519941,1527742800000
67,272.41,273.94,272.33,273.6,71258411,1527829200000
68,274.53,275.185,274.26,274.9,45385166,1528088400000
69,275.05,275.53,274.18,275.1,51135038,1528174800000
70,275.79,277.52,275.09,277.4,62732215,1528261200000
71,277.95,278.28,276.34,277.37,72969402,1528347600000
72,276.85,278.25,276.66,278.19,72139719,1528434000000
73,278.44,279.37,278.31,278.56,58892515,1528693200000
74,279.03,279.33,278.19,278.92,72329028,1528779600000
75,279.19,279.48,277.8,278.03,79070610,1528866000000
76,279.01,279.33,278.0599,278.73,77097620,1528952400000
77,276.6,277.51,275.35,277.13,120041562,1529038800000
78,275.49,276.7,274.95,276.56,52917581,1529298000000
79,274.0,275.75,273.53,275.5,97531510,1529384400000
80,276.27,276.72,275.59,275.97,53785486,1529470800000
81,275.96,275.98,273.68,274.24,71061404,1529557200000
82,275.66,275.785,274.49,274.74,56612003,1529643600000
83,273.44,273.6162,269.1,271.0,137854160,1529902800000
84,271.64,272.56,270.79,271.6,68683211,1529989200000
85,272.26,273.865,269.18,269.35,105110674,1530075600000
86,269.29,271.75,268.49,270.89,76650517,1530162000000
87,272.12,273.66,271.1495,271.28,97592499,1530248400000
88,269.51,272.04,269.24,271.86,63554774,1530507600000
89,272.87,272.98,270.42,270.9,42187071,1530594000000
90,272.17,273.18,270.96,273.11,56925919,1530766800000
91,273.14,275.84,272.715,275.42,66493696,1530853200000
92,276.55,277.96,276.5,277.9,50550399,1531112400000
93,278.41,279.01,278.08,278.9,51966829,1531198800000
94,277.15,278.04,276.52,276.86,77054739,1531285200000
95,278.28,279.43,277.6,279.37,60124687,1531371600000
96,279.17,279.93,278.66,279.59,48234964,1531458000000
97,279.64,279.803,278.84,279.34,48201038,1531717200000
98,278.47,280.91,278.41,280.47,52315500,1531803600000
99,280.56,281.18,280.06,281.06,44593465,1531890000000
100,280.31,280.74,279.46,280.0,61412117,1531976400000
101,279.77,280.48,279.5,279.68,82372729,1532062800000
102,279.45,280.43,279.06,280.2,47047565,1532322000000
103,281.79,282.56,280.63,281.61,68026935,1532408400000
104,281.33,284.37,281.28,284.01,78882927,1532494800000
105,283.2,284.11,283.09,283.34,57919495,1532581200000
106,283.71,283.82,280.38,281.42,76783177,1532667600000
107,281.51,281.69,279.36,279.95,63742508,1532926800000
108,280.81,282.02,280.38,281.33,68570493,1533013200000
109,281.56,282.13,280.1315,280.86,53853326,1533099600000
110,279.39,282.58,279.16,282.39,63426363,1533186000000
111,282.53,283.6577,282.33,283.6,53935386,1533272400000
112,283.64,284.99,283.2015,284.64,39400887,1533531600000
113,285.39,286.01,285.24,285.58,43196646,1533618000000
114,285.39,285.91,284.94,285.46,42114551,1533704400000
115,285.53,285.97,284.915,285.07,35716976,1533790800000
116,283.45,284.055,282.36,283.16,77076044,1533877200000
117,283.47,284.16,281.77,282.1,65732909,1534136400000
118,282.92,284.17,282.4833,283.9,43842031,1534222800000
119,282.38,282.54,280.16,281.78,102925355,1534309200000
120,283.4,285.04,283.36,284.06,69967919,1534395600000
121,283.83,285.5601,283.37,285.06,65618481,1534482000000
122,285.57,285.97,285.06,285.67,39807490,1534741200000
123,286.25,287.31,285.7135,286.34,67271983,1534827600000
124,285.88,286.76,285.575,286.17,44993333,1534914000000
125,285.97,286.94,285.43,285.79,49204851,1535000400000
126,286.44,287.67,286.38,287.51,57487399,1535086800000
127,288.86,289.9,288.68,289.78,57072377,1535346000000
128,290.3,290.4175,289.4,289.92,46943472,1535432400000
129,290.16,291.74,289.8854,291.48,61485514,1535518800000
130,290.94,291.36,289.63,290.3,61229501,1535605200000
131,289.84,290.81,289.29,290.31,66140838,1535691600000
132,289.84,290.21,288.68,289.81,57594367,1536037200000
133,289.41,289.64,287.89,289.03,72452437,1536123600000
134,289.15,289.49,287.0,288.16,65909863,1536210000000
135,286.98,288.7,286.71,287.6,73524824,1536296400000
136,288.74,289.04,287.88,288.1,50210903,1536555600000
137,287.37,289.55,286.975,289.05,50530492,1536642000000
138,289.06,289.8,288.23,289.12,59810758,1536728400000
139,290.32,291.0384,289.995,290.83,51034222,1536814800000
140,291.06,291.27,290.0,290.88,55079875,1536901200000
141,290.82,290.86,289.03,289.34,68244043,1537160400000
142,289.58,291.58,289.55,290.91,61930407,1537246800000
143,290.97,291.69,290.825,291.22,49080562,1537333200000
144,292.64,293.94,291.2363,293.58,100360646,1537419600000
145,293.09,293.22,291.81,291.99,105479656,1537506000000
146,291.34,291.5,290.37,291.02,53409645,1537765200000
147,291.53,291.65,290.4833,290.75,44370037,1537851600000
148,290.91,292.24,289.41,289.88,79739674,1537938000000
149,290.41,291.91,290.1,290.69,59249455,1538024400000
150,289.99,291.28,289.95,290.72,70091385,1538110800000
151,292.11,292.93,290.98,291.73,62078937,1538370000000
152,291.56,292.355,291.14,291.56,47258227,1538456400000
153,292.74,293.21,291.32,291.72,64694594,1538542800000
154,291.18,291.24,287.66,289.44,111545910,1538629200000
155,289.69,290.27,286.22,287.82,105951698,1538715600000
156,287.05,288.22,285.5,287.82,87742172,1538974800000
157,287.39,288.86,286.77,287.4,74338982,1539061200000
158,286.83,286.91,277.88,278.3,214731040,1539147600000
159,277.08,278.9,270.36,272.17,274840490,1539234000000
160,276.77,277.09,272.37,275.95,183186490,1539320400000
161,275.55,277.04,274.3,274.4,102263717,1539579600000
162,276.6,280.82,276.07,280.4,118255834,1539666000000
163,280.44,281.15,277.56,280.45,110625987,1539752400000
164,279.4,280.07,274.97,276.4,134557530,1539838800000
165,277.13,279.3,275.47,276.25,139901630,1539925200000
166,277.0,277.36,274.41,275.01,82415812,1540184400000
167,270.95,274.87,268.61,273.61,146352720,1540270800000
