,Open,High,Low,Close,Volume,datetime
52,273.01,273.98,271.3512,273.37,58025875,1526878800000
53,273.96,274.25,272.24,272.61,52966358,1526965200000
54,271.17,273.39,270.99,273.36,64694184,1527051600000
55,272.91,273.22,270.78,272.8,76043827,1527138000000
56,272.15,272.86,271.58,272.15,56374755,1527224400000
57,270.31,271.17,267.76,269.02,115908607,1527570000000
58,270.5,273.11,270.42,272.61,69678449,1527656400000
59,272.15,272.49,270.255,270.94,93519941,1527742800000
60,272.41,273.94,272.33,273.6,71258411,1527829200000
61,274.53,275.185,274.26,274.9,45385166,1528088400000
62,275.05,275.53,274.18,275.1,51135038,1528174800000
63,275.79,277.52,275.09,277.4,62732215,1528261200000
64,277.95,278.28,276.34,277.37,72969402,1528347600000
65,276.85,278.25,276.66,278.19,72139719,1528434000000
66,278.44,279.37,278.31,278.56,58892515,1528693200000
67,279.03,279.33,278.19,278.92,72329028,1528779600000
68,279.19,279.48,277.8,278.03,79070610,1528866000000
69,279.01,279.33,278.0599,278.73,77097620,1528952400000
70,276.6,277.51,275.35,277.13,120041562,1529038800000
71,275.49,276.7,274.95,276.56,52917581,1529298000000
72,274.0,275.75,273.53,275.5,97531510,1529384400000
73,276.27,276.72,275.59,275.97,53785486,1529470800000
74,275.96,275.98,273.68,274.24,71061404,1529557200000
75,275.66,275.785,274.49,274.74,56612003,1529643600000
76,273.44,273.6162,269.1,271.0,137854160,1529902800000
77,271.64,272.56,270.79,271.6,68683211,1529989200000
78,272.26,273.865,269.18,269.35,105110674,1530075600000
79,269.29,271.75,268.49,270.89,76650517,1530162000000
80,272.12,273.66,271.1495,271.28,97592499,1530248400000
81,269.51,272.04,269.24,271.86,63554774,1530507600000
82,272.87,272.98,270.42,270.9,42187071,1530594000000
83,272.17,273.18,270.96,273.11,56925919,1530766800000
84,273.14,275.84,272.715,275.42,66493696,1530853200000
85,276.55,277.96,276.5,277.9,50550399,1531112400000
86,278.41,279.01,278.08,278.9,51966829,1531198800000
87,277.15,278.04,276.52,276.86,77054739,1531285200000
88,278.28,279.43,277.6,279.37,60124687,1531371600000
89,279.17,279.93,278.66,279.59,48234964,1531458000000
90,279.64,279.803,278.84,279.34,48201038,1531717200000
91,278.47,280.91,278.41,280.47,52315500,1531803600000
92,280.56,281.18,280.06,281.06,44593465,1531890000000
93,280.31,280.74,279.46,280.0,61412117,1531976400000
94,279.77,280.48,279.5,279.68,82372729,1532062800000
95,279.45,280.43,279.06,280.2,47047565,1532322000000
96,281.79,282.56,280.63,281.61,68026935,1532408400000
97,281.33,284.37,281.28,284.01,78882927,1532494800000
98,283.2,284.11,283.09,283.34,57919495,1532581200000
99,283.71,283.82,280.38,281.42,76783177,1532667600000
100,281.51,281.69,279.36,279.95,63742508,1532926800000
101,280.81,282.02,280.38,281.33,68570493,1533013200000
102,281.56,282.13,280.1315,280.86,53853326,1533099600000
103,279.39,282.58,279.16,282.39,63426363,1533186000000
104,282.53,283.6577,282.33,283.6,53935386,1533272400000
105,283.64,284.99,283.2015,284.64,39400887,1533531600000
106,285.39,286.01,285.24,285.58,43196646,1533618000000
107,285.39,285.91,284.94,285.46,42114551,1533704400000
108,285.53,285.97,284.915,285.07,35716976,1533790800000
109,283.45,284.055,282.36,283.16,77076044,1533877200000
110,283.47,284.16,281.77,282.1,65732909,1534136400000
111,282.92,284.17,282.4833,283.9,43842031,1534222800000
112,282.38,282.54,280.16,281.78,102925355,1534309200000
113,283.4,285.04,283.36,284.06,69967919,1534395600000
114,283.83,285.5601,283.37,285.06,65618481,1534482000000
115,285.57,285.97,285.06,285.67,39807490,1534741200000
116,286.25,287.31,285.7135,286.34,67271983,1534827600000
117,285.88,286.76,285.575,286.17,44993333,1534914000000
118,285.97,286.94,285.43,285.79,49204851,1535000400000
119,286.44,287.67,286.38,287.51,57487399,1535086800000
120,288.86,289.9,288.68,289.78,57072377,1535346000000
121,290.3,290.4175,289.4,289.92,46943472,1535432400000
122,290.16,291.74,289.8854,291.48,61485514,1535518800000
123,290.94,291.36,289.63,290.3,61229501,1535605200000
124,289.84,290.81,289.29,290.31,66140838,1535691600000
125,289.84,290.21,288.68,289.81,57594367,1536037200000
126,289.41,289.64,287.89,289.03,72452437,1536123600000
127,289.15,289.49,287.0,288.16,65909863,1536210000000
128,286.98,288.7,286.71,287.6,73524824,1536296400000
129,288.74,289.04,287.88,288.1,50210903,1536555600000
130,287.37,289.55,286.975,289.05,50530492,1536642000000
131,289.06,289.8,288.23,289.12,59810758,1536728400000
132,290.32,291.0384,289.995,290.83,51034222,1536814800000
133,291.06,291.27,290.0,290.88,55079875,1536901200000
134,290.82,290.86,289.03,289.34,68244043,1537160400000
135,289.58,291.58,289.55,290.91,61930407,1537246800000
136,290.97,291.69,290.825,291.22,49080562,1537333200000
137,292.64,293.94,291.2363,293.58,100360646,1537419600000
138,293.09,293.22,291.81,291.99,105479656,1537506000000
139,291.34,291.5,290.37,291.02,53409645,1537765200000
140,291.53,291.65,290.4833,290.75,44370037,1537851600000
141,290.91,292.24,289.41,289.88,79739674,1537938000000
142,290.41,291.91,290.1,290.69,59249455,1538024400000
143,289.99,291.28,289.95,290.72,70091385,1538110800000
144,292.11,292.93,290.98,291.73,62078937,1538370000000
145,291.56,292.355,291.14,291.56,47258227,1538456400000
146,292.74,293.21,291.32,291.72,64694594,1538542800000
147,291.18,291.24,287.66,289.44,111545910,1538629200000
148,289.69,290.27,286.22,287.82,105951698,1538715600000
149,287.05,288.22,285.5,287.82,87742172,1538974800000
150,287.39,288.86,286.77,287.4,74338982,1539061200000
151,286.83,286.91,277.88,278.3,214731040,1539147600000
152,277.08,278.9,270.36,272.17,274840490,1539234000000
153,276.77,277.09,272.37,275.95,183186490,1539320400000
154,275.55,277.04,274.3,274.4,102263717,1539579600000
155,276.6,280.82,276.07,280.4,118255834,1539666000000
156,280.44,281.15,277.56,280.45,110625987,1539752400000
157,279.4,280.07,274.97,276.4,134557530,1539838800000
158,277.13,279.3,275.47,276.25,139901630,1539925200000
159,277.0,277.36,274.41,275.01,82415812,1540184400000
160,270.95,274.87,268.61,273.61,146352720,1540270800000
161,273.33,273.76,264.7,265.32,177806700,1540357200000
162,267.38,271.81,266.23,270.08,138061550,1540443600000
163,265.92,271.0,262.29,265.33,201574600,1540530000000
164,268.8,270.25,259.85,263.86,160749100,1540789200000
165,263.67,268.12,263.12,267.77,157116000,1540875600000
166,270.65,273.23,270.12,270.63,128296325,1540962000000
167,271.6,273.73,270.38,273.51,99495037,1541048400000
168,274.75,275.23,269.59,271.89,122627239,1541134800000
169,272.44,274.01,271.35,273.39,65622482,1541397600000
170,273.32,275.3,273.25,275.12,60085894,1541484000000
171,277.56,281.1,277.08,281.01,102752099,1541570400000
172,280.11,281.22,279.22,280.5,65584886,1541656800000
173,279.03,279.24,276.18,277.76,98812561,1541743200000
174,277.19,277.46,271.99,272.57,99673574,1542002400000
175,273.09,275.325,271.25,272.06,98176610,1542088800000
176,274.16,274.61,268.45,270.2,125335931,1542175200000
177,268.78,273.54,267.0102,273.02,135101440,1542261600000
178,271.79,274.75,271.21,273.73,126668040,1542348000000
179,273.05,273.38,268.07,269.1,103061706,1542607200000
180,265.36,267.0,263.15,264.12,136021310,1542693600000
181,265.86,267.15,265.01,265.02,75563743,1542780000000
182,263.18,264.8234,263.07,263.25,42807878,1542952800000
183,265.78,267.75,265.34,267.5,79981362,1543212000000
184,266.34,268.4,265.66,268.4,75502441,1543298400000
185,269.6,274.58,268.3272,274.58,127629633,1543384800000
186,273.71,275.55,272.43,273.98,82346420,1543471200000
187,273.81,276.28,273.45,275.65,98204190,1543557600000
188,280.28,280.4,277.505,279.3,103017719,1543816800000
189,278.37,278.85,269.9,270.25,177986010,1543903200000
190,265.92,269.97,262.44,269.84,204185410,1544076000000
191,269.46,271.22,262.63,263.57,161018920,1544162400000
192,263.37,265.1613,258.62,264.07,151445890,1544421600000
193,267.66,267.87,262.48,264.13,121504431,1544508000000
194,267.47,269.0,265.37,265.46,97976706,1544594400000
195,266.52,267.49,264.12,265.37,96662717,1544680800000
196,262.96,264.03,259.85,260.47,116961071,1544767200000
197,259.4,260.65,253.525,255.36,165492260,1545026400000
198,257.2,257.95,253.28,255.08,134515090,1545112800000
199,255.17,259.4,249.35,251.26,214992760,1545199200000
200,249.86,251.62,244.65,247.17,252053380,1545285600000
201,246.74,249.71,239.98,240.7,255345630,1545372000000
202,239.04,240.8355,234.27,234.34,147311590,1545631200000
203,235.97,246.18,233.76,246.18,218485360,1545804000000
204,242.57,248.29,238.96,248.07,186267340,1545890400000
205,249.58,251.4,246.45,247.75,153100190,1545976800000
206,249.56,250.19,247.47,249.92,144299370,1546236000000
207,245.98,251.21,245.95,250.18,126925199,1546408800000
208,248.23,248.57,243.67,244.21,144140690,1546495200000
209,247.59,253.11,247.17,252.39,142628830,1546581600000
210,252.69,255.95,251.69,254.38,103139100,1546840800000
211,256.82,257.31,254.0,256.77,102512587,1546927200000
212,257.56,258.91,256.19,257.97,95006554,1547013600000
213,256.26,259.16,255.5,258.88,96823923,1547100000000
214,257.68,259.0098,257.03,258.98,73858110,1547186400000
215,256.86,258.3,256.41,257.4,70908227,1547445600000
216,257.82,260.7,257.81,260.35,85208271,1547532000000
217,260.83,261.9666,260.6,260.98,77636710,1547618400000
218,260.01,263.92,259.96,262.96,96118435,1547704800000
219,264.98,266.98,264.1,266.46,127900303,1547791200000
220,264.82,265.06,261.06,262.86,115531183,1548136800000
221,264.01,264.79,260.66,263.41,86030287,1548223200000
222,263.21,264.2,262.08,263.55,59204139,1548309600000
223,265.61,266.7,263.6595,265.78,96883358,1548396000000
224,263.39,263.83,261.79,263.76,85613655,1548655200000
225,263.92,264.55,262.48,263.41,66136334,1548741600000
226,265.1,268.52,264.25,267.58,92473671,1548828000000
227,267.51,270.47,267.27,269.93,104012073,1548914400000
228,270.15,271.2,269.18,270.06,85782524,1549000800000
229,270.11,272.03,269.36,271.96,60744844,1549260000000
230,272.44,273.44,271.88,273.1,79552774,1549346400000
231,272.79,273.34,271.92,272.74,58347791,1549432800000
232,270.94,271.55,268.29,270.14,95481961,1549519200000
233,268.75,270.58,267.83,270.47,75788861,1549605600000
234,271.2,271.49,270.03,270.62,68021423,1549864800000
235,272.42,274.52,272.34,274.1,72270221,1549951200000
236,275.03,275.93,274.56,274.99,65277204,1550037600000
237,273.78,275.64,272.87,274.38,83234396,1550124000000
238,276.36,277.41,276.13,277.37,97088659,1550210400000
239,276.4813,278.58,276.47,277.85,59120804,1550556000000
240,277.81,278.92,277.25,278.41,76610767,1550642400000
241,277.7,278.1,276.345,277.42,64214727,1550728800000
242,278.11,279.36,277.4029,279.14,78114616,1550815200000
243,280.73,281.31,279.43,279.52,69030699,1551074400000
244,279.13,280.3,278.9,279.32,56844101,1551160800000
245,278.52,279.59,277.48,279.2,56921570,1551247200000
246,278.96,279.45,278.32,278.68,69268293,1551333600000
247,280.44,280.88,278.82,280.42,78880548,1551420000000
248,281.6,281.87,276.84,279.4,106494637,1551679200000
249,279.54,279.76,278.41,279.02,59114559,1551765600000
250,279.15,279.16,276.97,277.33,75039771,1551852000000
251,276.83,276.99,274.07,275.01,94885089,1551938400000
252,272.94,274.65,272.42,274.46,85795799,1552024800000
253,275.26,278.62,275.23,278.44,65098897,1552280400000
254,279.06,280.07,278.85,279.49,79667530,1552366800000
255,280.48,282.38,280.3,281.34,80639153,1552453200000
256,281.37,281.84,280.6662,281.16,67518366,1552539600000
257,280.54,282.21,280.33,281.31,81308979,1552626000000
258,281.55,282.66,281.3,282.33,62199806,1552885200000
259,283.51,284.36,281.41,282.4,90268121,1552971600000
260,282.16,283.5,280.32,281.55,84609210,1553058000000
261,280.64,285.18,280.59,284.73,79550375,1553144400000
262,283.22,283.8034,279.18,279.25,122589646,1553230800000
263,278.87,280.1853,277.64,279.04,85575197,1553490000000
264,280.99,282.18,279.56,281.12,68125920,1553576400000
265,281.11,281.76,277.93,279.65,72224722,1553662800000
266,280.35,281.21,279.07,280.71,56238545,1553749200000
267,282.39,282.84,281.14,282.48,82186806,1553835600000
268,284.7,286.16,284.4,285.83,77617945,1554094800000
269,286.04,286.23,285.09,285.97,40070351,1554181200000
270,287.32,287.76,285.75,286.42,68243202,1554267600000
271,286.78,287.459,286.01,287.18,48997505,1554354000000
272,287.92,288.63,287.6,288.57,58621729,1554440400000
273,288.1,288.91,287.37,288.79,53566335,1554699600000
274,287.72,288.08,286.7,287.31,66142316,1554786000000
275,287.77,288.3899,287.31,288.29,52601499,1554872400000
276,288.83,288.84,287.578,288.21,55093100,1554958800000
277,290.0,290.47,288.261,290.16,69727782,1555045200000
278,290.24,290.35,289.075,289.97,49596685,1555304400000
279,290.95,291.01,289.5,290.16,52153197,1555390800000
280,291.4,291.425,288.99,289.45,58268295,1555477200000
281,290.1,290.32,288.66,290.02,68708513,1555563600000
282,289.17,290.435,289.07,290.27,40160140,1555909200000
283,290.68,293.14,290.42,292.88,52246633,1555995600000
284,292.79,293.16,292.07,292.23,50392914,1556082000000
285,292.12,292.78,290.73,292.05,57770862,1556168400000
286,292.1,293.49,291.2401,293.41,50916423,1556254800000
287,293.51,294.45,293.41,293.87,57197747,1556514000000
288,293.49,294.34,291.92,294.02,81111733,1556600400000
289,294.72,294.95,291.8,291.81,71671870,1556686800000
290,291.68,292.7,289.52,291.18,65030170,1556773200000
291,292.82,294.34,291.2998,294.03,56543653,1556859600000
292,289.25,293.31,288.9,292.82,107198069,1557118800000
293,290.15,290.81,285.81,287.93,144729910,1557205200000
294,287.53,289.43,286.87,287.53,91568287,1557291600000
295,285.23,287.33,283.3,286.66,103471104,1557378000000
296,285.62,288.94,282.3,288.1,112429293,1557464400000
297,282.42,283.49,279.93,280.86,127290527,1557723600000
298,281.99,285.1,281.85,283.4,77003230,1557810000000
299,281.59,285.77,281.36,285.06,73956407,1557896400000
300,285.84,289.21,285.76,287.7,76749643,1557982800000
301,285.14,288.6,285.1207,285.84,100353024,1558069200000
302,284.06,285.43,283.12,283.95,62877610,1558328400000
303,285.83,286.93,285.55,286.51,46847085,1558414800000
304,285.45,286.69,285.1,285.63,49482472,1558501200000
305,283.16,283.21,280.57,282.14,98733847,1558587600000
306,283.74,284.2,282.09,282.78,55268095,1558674000000
307,283.09,284.15,280.13,280.15,70029356,1559019600000
308,278.91,279.36,276.71,278.27,104972927,1559106000000
309,279.11,280.04,277.805,279.03,62523780,1559192400000
310,276.2,277.12,275.24,275.27,86862782,1559278800000
311,275.31,276.5521,273.09,274.57,96427952,1559538000000
312,277.12,280.68,276.62,280.53,77231889,1559624400000
313,282.33,282.99,280.32,282.96,71169717,1559710800000
314,283.29,285.55,282.57,284.8,69430381,1559797200000
315,285.93,288.85,285.74,287.65,74272199,1559883600000
316,289.37,290.82,288.8734,288.97,60799053,1560142800000
317,290.99,291.4,288.1805,288.9,58641325,1560229200000
318,288.64,289.26,287.815,288.39,47096312,1560315600000
319,289.4,289.98,288.62,289.58,48945156,1560402000000
320,289.26,289.93,288.41,289.26,52324716,1560488400000
321,289.52,290.22,289.18,289.37,39205709,1560747600000
322,291.39,293.57,290.99,292.4,85434823,1560834000000
323,292.55,293.65,291.47,293.06,78674377,1560920400000
324,296.04,296.3093,293.1255,295.86,116570017,1561006800000
325,294.13,295.52,293.76,294.0,83309466,1561093200000
326,294.23,294.58,293.47,293.64,47582730,1561352400000
327,293.7,293.73,290.64,290.76,82028656,1561438800000
328,291.75,292.31,290.345,290.47,51584902,1561525200000
329,291.31,292.06,290.89,291.5,40355239,1561611600000
330,292.58,293.55,292.01,293.0,59350929,1561698000000
